FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,ADJUSTMENT,Correzione,SEX,Sesso,AGE,Età,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-02,4530.802,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-03,4506.809,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-04,4531.282,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-05,4461.145,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-06,4544.661,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-07,4571.369,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-08,4621.228,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-09,4600.54,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-10,4618.926,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-11,4645.795,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-12,4672.677,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2026-01,4665.218,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,1,Maschi,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2026-02,4729.378,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-02,7808.277,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-03,7801.951,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-04,7844.722,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-05,7794.91,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-06,7785.175,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-07,7862.641,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-08,7874.225,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-09,7820.782,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-10,7825.527,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-11,7897.111,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2025-12,7885.292,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2026-01,7930.338,,
M,Mensile,IT,Italia,INAC,Inattivi (migliaia),Y,Dati destagionalizzati,2,Femmine,Y15-64,15-64 anni,2026M4G1,01-Apr-2026,2026-02,7868.851,,
